what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325176982026
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1325176984879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1325176989040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1325176989532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325176992327
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1325176994867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176998206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325176999794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177001285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177027022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177029866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177041834
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325177043087
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325177048781
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325177051701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177057803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177060426
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325177060469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1325177060469
closed,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1325177060591
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325177060730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177065626
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1325177069152
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1325177070673
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1325177075294
started,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1325177075651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177134919
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1325177134964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177135978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177163736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177165115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177169637
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1325177187027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177191744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177218066
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325177219192
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1325177220632
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325177221244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177226341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177245874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177257078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325177265712
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325177265975
